"REF_DATE","GEO","DGUID","Age","Sex","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2002/2003","Nova Scotia","2016A000212","19 years","Females","Number","223","units ","0","v66461985","4.18.3","321","","","","0"
"2002/2003","Nova Scotia","2016A000212","20 years","Total, sex","Number","223","units ","0","v66461986","4.19.1","318","","","","0"
"2002/2003","Nova Scotia","2016A000212","20 years","Males","Number","223","units ","0","v66461987","4.19.2","219","","","","0"
"2002/2003","Nova Scotia","2016A000212","20 years","Females","Number","223","units ","0","v66461988","4.19.3","99","","","","0"
"2002/2003","Nova Scotia","2016A000212","21 years and over","Total, sex","Number","223","units ","0","v66461989","4.20.1","489","","","","0"
"2002/2003","Nova Scotia","2016A000212","21 years and over","Males","Number","223","units ","0","v66461990","4.20.2","156","","","","0"
"2002/2003","Nova Scotia","2016A000212","21 years and over","Females","Number","223","units ","0","v66461991","4.20.3","333","","","","0"
"2002/2003","New Brunswick","2016A000213","Total, age","Total, sex","Number","223","units ","0","v66461992","5.1.1","120600","","","","0"
"2002/2003","New Brunswick","2016A000213","Total, age","Males","Number","223","units ","0","v66461993","5.1.2","62046","","","","0"
"2002/2003","New Brunswick","2016A000213","Total, age","Females","Number","223","units ","0","v66461994","5.1.3","58554","","","","0"
"2002/2003","New Brunswick","2016A000213","4 years","Total, sex","Number","223","units ","0","v66461998","5.3.1","1866","","","","0"
"2002/2003","New Brunswick","2016A000213","4 years","Males","Number","223","units ","0","v66461999","5.3.2","909","","","","0"
"2002/2003","New Brunswick","2016A000213","4 years","Females","Number","223","units ","0","v66462000","5.3.3","957","","","","0"
"2002/2003","New Brunswick","2016A000213","5 years","Total, sex","Number","223","units ","0","v66462001","5.4.1","7713","","","","0"
"2002/2003","New Brunswick","2016A000213","5 years","Males","Number","223","units ","0","v66462002","5.4.2","3978","","","","0"
"2002/2003","New Brunswick","2016A000213","5 years","Females","Number","223","units ","0","v66462003","5.4.3","3732","","","","0"
"2002/2003","New Brunswick","2016A000213","6 years","Total, sex","Number","223","units ","0","v66462004","5.5.1","7989","","","","0"
"2002/2003","New Brunswick","2016A000213","6 years","Males","Number","223","units ","0","v66462005","5.5.2","4077","","","","0"
"2002/2003","New Brunswick","2016A000213","6 years","Females","Number","223","units ","0","v66462006","5.5.3","3912","","","","0"
"2002/2003","New Brunswick","2016A000213","7 years","Total, sex","Number","223","units ","0","v66462007","5.6.1","8409","","","","0"
"2002/2003","New Brunswick","2016A000213","7 years","Males","Number","223","units ","0","v66462008","5.6.2","4335","","","","0"
"2002/2003","New Brunswick","2016A000213","7 years","Females","Number","223","units ","0","v66462009","5.6.3","4071","","","","0"
"2002/2003","New Brunswick","2016A000213","8 years","Total, sex","Number","223","units ","0","v66462010","5.7.1","8730","","","","0"
"2002/2003","New Brunswick","2016A000213","8 years","Males","Number","223","units ","0","v66462011","5.7.2","4416","","","","0"
"2002/2003","New Brunswick","2016A000213","8 years","Females","Number","223","units ","0","v66462012","5.7.3","4314","","","","0"
"2002/2003","New Brunswick","2016A000213","9 years","Total, sex","Number","223","units ","0","v66462013","5.8.1","8799","","","","0"
"2002/2003","New Brunswick","2016A000213","9 years","Males","Number","223","units ","0","v66462014","5.8.2","4521","","","","0"
"2002/2003","New Brunswick","2016A000213","9 years","Females","Number","223","units ","0","v66462015","5.8.3","4278","","","","0"
"2002/2003","New Brunswick","2016A000213","10 years","Total, sex","Number","223","units ","0","v66462016","5.9.1","9306","","","","0"
"2002/2003","New Brunswick","2016A000213","10 years","Males","Number","223","units ","0","v66462017","5.9.2","4731","","","","0"
"2002/2003","New Brunswick","2016A000213","10 years","Females","Number","223","units ","0","v66462018","5.9.3","4578","","","","0"
"2002/2003","New Brunswick","2016A000213","11 years","Total, sex","Number","223","units ","0","v66462019","5.10.1","9360","","","","0"
